지점,지점명,일시,평균기온
108,서울,Apr-72,11.5
108,서울,May-72,16.4
108,서울,Jun-72,21.7
108,서울,Jul-72,25.7
108,서울,Aug-72,23.1
108,서울,Sep-72,19
108,서울,Oct-72,13.8
108,서울,Nov-72,5.2
108,서울,Dec-72,0.6
108,서울,Jan-73,0.4
108,서울,Feb-73,0.6
108,서울,Mar-73,4.5
108,서울,Apr-73,12.4
108,서울,May-73,17.4
108,서울,Jun-73,21.4
108,서울,Jul-73,26.8
108,서울,Aug-73,25.9
108,서울,Sep-73,20.3
108,서울,Oct-73,13
108,서울,Nov-73,4.7
108,서울,Dec-73,-3
108,서울,Jan-74,-2.4
108,서울,Feb-74,-2.1
108,서울,Mar-74,3.7
108,서울,Apr-74,10.7
108,서울,May-74,16.7
108,서울,Jun-74,19.7
108,서울,Jul-74,23.5
108,서울,Aug-74,25.1
108,서울,Sep-74,20.6
108,서울,Oct-74,12.6
108,서울,Nov-74,5.4
108,서울,Dec-74,-0.5
108,서울,Jan-75,-2.7
108,서울,Feb-75,-0.8
108,서울,Mar-75,4.4
108,서울,Apr-75,13.3
108,서울,May-75,16.7
108,서울,Jun-75,21.4
108,서울,Jul-75,24.9
108,서울,Aug-75,27
108,서울,Sep-75,22.6
108,서울,Oct-75,15.4
108,서울,Nov-75,9
108,서울,Dec-75,-1.6
108,서울,Jan-76,-3.8
108,서울,Feb-76,2.8
108,서울,Mar-76,4.8
108,서울,Apr-76,11.3
108,서울,May-76,16.7
108,서울,Jun-76,21.3
108,서울,Jul-76,23.1
108,서울,Aug-76,23.7
108,서울,Sep-76,19.9
108,서울,Oct-76,13.7
108,서울,Nov-76,3.5
108,서울,Dec-76,0.4
108,서울,Jan-77,-6.7
108,서울,Feb-77,-2.4
108,서울,Mar-77,5.4
108,서울,Apr-77,12.5
108,서울,May-77,17.4
108,서울,Jun-77,22.5
108,서울,Jul-77,26
108,서울,Aug-77,24.6
108,서울,Sep-77,21.5
108,서울,Oct-77,16.7
108,서울,Nov-77,7.6
108,서울,Dec-77,2.4
108,서울,Jan-78,-2.4
108,서울,Feb-78,-2.5
108,서울,Mar-78,4.2
108,서울,Apr-78,11.5
108,서울,May-78,18.5
108,서울,Jun-78,21.9
108,서울,Jul-78,26.4
108,서울,Aug-78,25.8
108,서울,Sep-78,20.9
108,서울,Oct-78,14.5
108,서울,Nov-78,7.9
108,서울,Dec-78,1.6
108,서울,Jan-79,0.9
108,서울,Feb-79,0.6
108,서울,Mar-79,6
108,서울,Apr-79,11.2
108,서울,May-79,16.5
108,서울,Jun-79,21.4
108,서울,Jul-79,24.3
108,서울,Aug-79,25.4
108,서울,Sep-79,20.1
108,서울,Oct-79,15.9
108,서울,Nov-79,5.7
108,서울,Dec-79,1.4
108,서울,Jan-80,-3.7
108,서울,Feb-80,-3.1
108,서울,Mar-80,5.2
108,서울,Apr-80,10.1
108,서울,May-80,16.5
108,서울,Jun-80,21.6
108,서울,Jul-80,22.7
108,서울,Aug-80,22.8
108,서울,Sep-80,19.6
108,서울,Oct-80,13
108,서울,Nov-80,8.6
108,서울,Dec-80,-3.8
108,서울,Jan-81,-7
108,서울,Feb-81,-1.4
108,서울,Mar-81,5.7
108,서울,Apr-81,11.9
108,서울,May-81,15.9
108,서울,Jun-81,21.8
108,서울,Jul-81,25.4
108,서울,Aug-81,24.5
108,서울,Sep-81,20
108,서울,Oct-81,13.4
108,서울,Nov-81,3.6
108,서울,Dec-81,0.1
108,서울,Jan-82,-3.5
108,서울,Feb-82,0.6
108,서울,Mar-82,5.9
108,서울,Apr-82,12.3
108,서울,May-82,17.9
108,서울,Jun-82,21.9
108,서울,Jul-82,25.1
108,서울,Aug-82,25.4
108,서울,Sep-82,20.8
108,서울,Oct-82,15.8
108,서울,Nov-82,7.9
108,서울,Dec-82,-0.1
108,서울,Jan-83,-1.7
108,서울,Feb-83,-1.7
108,서울,Mar-83,6.4
108,서울,Apr-83,13.6
108,서울,May-83,18.5
108,서울,Jun-83,22.2
108,서울,Jul-83,23.6
108,서울,Aug-83,26
108,서울,Sep-83,22
108,서울,Oct-83,14.2
108,서울,Nov-83,6.7
108,서울,Dec-83,-1.1
108,서울,Jan-84,-5.9
108,서울,Feb-84,-3.5
108,서울,Mar-84,2.5
108,서울,Apr-84,12.1
108,서울,May-84,18.2
108,서울,Jun-84,22.6
108,서울,Jul-84,25.2
108,서울,Aug-84,26.3
108,서울,Sep-84,20.1
108,서울,Oct-84,13.8
108,서울,Nov-84,8.1
108,서울,Dec-84,-0.9
108,서울,Jan-85,-5.9
108,서울,Feb-85,-0.3
108,서울,Mar-85,4.3
108,서울,Apr-85,11.6
108,서울,May-85,18.1
108,서울,Jun-85,22.1
108,서울,Jul-85,25.3
108,서울,Aug-85,26.3
108,서울,Sep-85,20.2
108,서울,Oct-85,14.7
108,서울,Nov-85,5.6
108,서울,Dec-85,-3.4
108,서울,Jan-86,-5.4
108,서울,Feb-86,-3.3
108,서울,Mar-86,4.9
108,서울,Apr-86,11.9
108,서울,May-86,17.1
108,서울,Jun-86,21.9
108,서울,Jul-86,23.5
108,서울,Aug-86,24.5
108,서울,Sep-86,19.9
108,서울,Oct-86,12.7
108,서울,Nov-86,5.2
108,서울,Dec-86,1.9
108,서울,Jan-87,-3
108,서울,Feb-87,-0.1
108,서울,Mar-87,4
108,서울,Apr-87,10.8
108,서울,May-87,17
108,서울,Jun-87,22.4
108,서울,Jul-87,23.7
108,서울,Aug-87,24.4
108,서울,Sep-87,20.1
108,서울,Oct-87,15.5
108,서울,Nov-87,7.5
108,서울,Dec-87,0.9
108,서울,Jan-88,-2.1
108,서울,Feb-88,-1.5
108,서울,Mar-88,4.3
108,서울,Apr-88,11.3
108,서울,May-88,17.9
108,서울,Jun-88,22.3
108,서울,Jul-88,24.4
108,서울,Aug-88,26.4
108,서울,Sep-88,21.4
108,서울,Oct-88,15
108,서울,Nov-88,5.5
108,서울,Dec-88,0.1
108,서울,Jan-89,0.8
